#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/tmp2qklu2nu/tmpwhpq5f0j -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bowtie2.txt --nproc 12
#60037381 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	2|200918|188708|1643946	0.11138	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.09445	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658	2|976||	0.09028	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012	2|976||	0.086	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348	2|95818||	0.0812	
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	2|1224||	0.04812	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897	2|67818||	0.04746	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191	2|203682||	0.04266	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.04028	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.03894	
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181	2157|28890||	0.01918	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified	2|508458||	0.01727	
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	2|2138240|2138243|2138246	0.01067	
