#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/tmptixv0n6k/tmpgrqmf_cb -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bowtie2.txt --nproc 12
#119461023 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Atribacterota|c__Atribacteria	2|67818|2847774	0.04659	
k__Bacteria|p__Bacteroidetes|c__CFGB7709	2|976|	0.0436	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.03392	
k__Bacteria|p__Bacteroidetes|c__CFGB76561	2|976|	0.02931	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.02567	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.02513	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.02222	
k__Bacteria|p__Proteobacteria|c__CFGB11081	2|1224|	0.02174	
k__Bacteria|p__Synergistetes|c__CFGB15867	2|508458|	0.01821	
k__Bacteria|p__Proteobacteria|c__CFGB26025	2|1224|	0.0149	
k__Bacteria|p__Bacteroidetes|c__CFGB75933	2|976|	0.01488	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB47467	2|95818|	0.01448	
k__Bacteria|p__Chloroflexi|c__CFGB24537	2|200795|	0.01193	
k__Bacteria|p__Kiritimatiellaeota|c__CFGB30752	2|134625|	0.01042	
k__Bacteria|p__Firmicutes|c__CFGB3438	2|1239|	0.0103	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01001	
k__Bacteria|p__Proteobacteria|c__CFGB8514	2|1224|	0.00948	
k__Bacteria|p__Firmicutes|c__CFGB8287	2|1239|	0.00855	
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2|200795|292625	0.00835	
k__Bacteria|p__Firmicutes|c__CFGB1927	2|1239|	0.00497	
k__Bacteria|p__Deferribacteres|c__CFGB25719	2|200930|	0.00433	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00405	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.00377	
k__Bacteria|p__Proteobacteria|c__CFGB41806	2|1224|	0.00263	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB8426	2|142187|	0.0026	
k__Bacteria|p__Proteobacteria|c__CFGB76416	2|1224|	0.00251	
k__Bacteria|p__Bacteroidetes|c__CFGB8910	2|976|	0.00191	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.00181	
k__Bacteria|p__Actinobacteria|c__CFGB76411	2|201174|	0.0018	
k__Bacteria|p__Candidatus_Aminicenantes|c__CFGB8486	2|67817|	0.00158	
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	2|200795|1382928	0.00122	
k__Bacteria|p__Firmicutes|c__CFGB8975	2|1239|	0.00107	
k__Bacteria|p__Verrucomicrobia|c__CFGB38799	2|74201|	0.00065	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.00064	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB23620	2|95818|	0.00058	
k__Bacteria|p__Actinobacteria|c__CFGB23051	2|201174|	0.00046	
k__Bacteria|p__Bacteroidetes|c__CFGB7739	2|976|	0.00045	
k__Bacteria|p__Firmicutes|c__CFGB11619	2|1239|	0.00044	
k__Bacteria|p__Proteobacteria|c__CFGB75967	2|1224|	0.00041	
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_unclassified	2157|28889|	0.00038	
k__Bacteria|p__Firmicutes|c__CFGB26775	2|1239|	0.00036	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00035	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.00029	
k__Bacteria|p__Bacteroidetes|c__CFGB41867	2|976|	0.00023	
k__Bacteria|p__Firmicutes|c__CFGB8972	2|1239|	0.00022	
k__Bacteria|p__Proteobacteria|c__CFGB6783	2|1224|	0.00017	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified	2|456828||	24.46809	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821	2|203691||	12.87434	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	6.19612	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	2157|28890|224756|2191	5.99459	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452	2|1224||	4.44051	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946	2|1224||	3.70788	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.42902	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348	2|95818||	3.39843	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012	2|976||	2.66682	
k__Bacteria|p__Actinobacteria|c__CFGB76414|o__OFGB76414	2|201174||	2.42816	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734	2|1134404||	2.32461	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982	2|203691||	2.04702	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.57555	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080	2|1239||	1.34018	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191	2|203682||	1.28036	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales	2157|28890|224756|2905377	1.25532	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	2|200918|188708|1643946	1.13881	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.9957	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063	2|1239||	0.91482	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.86633	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658	2|976||	0.79023	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234	2|68297||	0.70757	
k__Bacteria|p__Bacteroidetes|c__CFGB24578|o__OFGB24578	2|976||	0.53741	
k__Bacteria|p__Planctomycetes|c__CFGB45746|o__OFGB45746	2|203682||	0.47973	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified	2|1224|28216|	0.4572	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified	2|508458||	0.3881	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401	2|57723||	0.35816	
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945	2|508458||	0.27251	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.26322	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.24615	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	2|201174|84992|84993	0.23975	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.19482	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.18979	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897	2|67818||	0.16391	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermosediminibacterales	2|1239|186801|2770089	0.15995	
k__Bacteria|p__Firmicutes|c__CFGB8935|o__OFGB8935	2|1239||	0.14186	
k__Bacteria|p__Firmicutes|c__CFGB9195|o__OFGB9195	2|1239||	0.1403	
k__Bacteria|p__Coprothermobacterota|c__Coprothermobacteria|o__Coprothermobacterales	2|2138240|2138243|2138246	0.13974	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.13298	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.12659	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB42739|o__OFGB42739	2|95818||	0.1198	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2|1224|1236|2887326	0.11383	
